Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2025,5014,10,1,dilluns,Mesura no disponible
2025,5014,10,2,laborables,Mesura no disponible
2025,5014,10,3,divendres,Mesura no disponible
2025,5014,10,4,dissabte,Mesura no disponible
2025,5014,10,5,diumenge,Mesura no disponible
2025,5014,11,1,dilluns,18632
2025,5014,11,2,laborables,18991
2025,5014,11,3,divendres,21524
2025,5014,11,4,dissabte,19532
2025,5014,11,5,diumenge,14469
2025,5014,12,1,dilluns,19821
2025,5014,12,2,laborables,19547
2025,5014,12,3,divendres,21053
2025,5014,12,4,dissabte,19137
2025,5014,12,5,diumenge,16531
2025,5015,1,1,dilluns,Mesura no disponible
2025,5015,1,2,laborables,Mesura no disponible
2025,5015,1,3,divendres,Mesura no disponible
2025,5015,1,4,dissabte,Mesura no disponible
2025,5015,1,5,diumenge,Mesura no disponible
2025,5015,2,1,dilluns,Mesura no disponible
2025,5015,2,2,laborables,Mesura no disponible
2025,5015,2,3,divendres,Mesura no disponible
2025,5015,2,4,dissabte,Mesura no disponible
2025,5015,2,5,diumenge,Mesura no disponible
2025,5015,3,1,dilluns,Mesura no disponible
2025,5015,3,2,laborables,Mesura no disponible
2025,5015,3,3,divendres,Mesura no disponible
2025,5015,3,4,dissabte,Mesura no disponible
2025,5015,3,5,diumenge,Mesura no disponible
2025,5015,4,1,dilluns,Mesura no disponible
2025,5015,4,2,laborables,Mesura no disponible
2025,5015,4,3,divendres,Mesura no disponible
2025,5015,4,4,dissabte,Mesura no disponible
2025,5015,4,5,diumenge,Mesura no disponible
2025,5015,5,1,dilluns,Mesura no disponible
2025,5015,5,2,laborables,Mesura no disponible
2025,5015,5,3,divendres,Mesura no disponible
2025,5015,5,4,dissabte,Mesura no disponible
2025,5015,5,5,diumenge,Mesura no disponible
2025,5015,6,1,dilluns,3094
2025,5015,6,2,laborables,3615
2025,5015,6,3,divendres,3745
2025,5015,6,4,dissabte,3279
2025,5015,6,5,diumenge,2761
2025,5015,7,1,dilluns,3423
2025,5015,7,2,laborables,3922
2025,5015,7,3,divendres,3597
2025,5015,7,4,dissabte,2942
2025,5015,7,5,diumenge,2908
2025,5015,8,1,dilluns,2672
2025,5015,8,2,laborables,3183
2025,5015,8,3,divendres,3705
2025,5015,8,4,dissabte,2612
2025,5015,8,5,diumenge,2364
2025,5015,9,1,dilluns,3433
2025,5015,9,2,laborables,3722
2025,5015,9,3,divendres,3879
2025,5015,9,4,dissabte,3206
2025,5015,9,5,diumenge,2546
2025,5015,10,1,dilluns,3412
2025,5015,10,2,laborables,3660
2025,5015,10,3,divendres,4007
2025,5015,10,4,dissabte,3008
2025,5015,10,5,diumenge,3009
2025,5015,11,1,dilluns,2977
2025,5015,11,2,laborables,3260
2025,5015,11,3,divendres,3509
2025,5015,11,4,dissabte,4474
2025,5015,11,5,diumenge,2332
2025,5015,12,1,dilluns,2953
2025,5015,12,2,laborables,3039
2025,5015,12,3,divendres,3467
2025,5015,12,4,dissabte,2332
2025,5015,12,5,diumenge,2196
2025,5016,1,1,dilluns,Mesura no disponible
2025,5016,1,2,laborables,Mesura no disponible
2025,5016,1,3,divendres,Mesura no disponible
2025,5016,1,4,dissabte,Mesura no disponible
2025,5016,1,5,diumenge,Mesura no disponible
2025,5016,2,1,dilluns,Mesura no disponible
2025,5016,2,2,laborables,Mesura no disponible
2025,5016,2,3,divendres,Mesura no disponible
2025,5016,2,4,dissabte,Mesura no disponible
2025,5016,2,5,diumenge,Mesura no disponible
2025,5016,3,1,dilluns,Mesura no disponible
2025,5016,3,2,laborables,Mesura no disponible
2025,5016,3,3,divendres,Mesura no disponible
2025,5016,3,4,dissabte,Mesura no disponible
2025,5016,3,5,diumenge,Mesura no disponible
2025,5016,4,1,dilluns,Mesura no disponible
2025,5016,4,2,laborables,Mesura no disponible
2025,5016,4,3,divendres,Mesura no disponible
2025,5016,4,4,dissabte,Mesura no disponible
2025,5016,4,5,diumenge,Mesura no disponible
2025,5016,5,1,dilluns,Mesura no disponible
2025,5016,5,2,laborables,Mesura no disponible
2025,5016,5,3,divendres,Mesura no disponible
2025,5016,5,4,dissabte,Mesura no disponible
2025,5016,5,5,diumenge,Mesura no disponible
2025,5016,6,1,dilluns,14953
2025,5016,6,2,laborables,17337
2025,5016,6,3,divendres,19778
2025,5016,6,4,dissabte,17776
2025,5016,6,5,diumenge,14144
2025,5016,7,1,dilluns,15153
2025,5016,7,2,laborables,17420
2025,5016,7,3,divendres,18620
2025,5016,7,4,dissabte,17597
2025,5016,7,5,diumenge,15290
2025,5016,8,1,dilluns,17312
2025,5016,8,2,laborables,17868
2025,5016,8,3,divendres,19320
2025,5016,8,4,dissabte,17619
2025,5016,8,5,diumenge,16975
2025,5016,9,1,dilluns,16632
2025,5016,9,2,laborables,18475
2025,5016,9,3,divendres,19821
2025,5016,9,4,dissabte,18148
2025,5016,9,5,diumenge,16091
2025,5016,10,1,dilluns,16535
2025,5016,10,2,laborables,18161
2025,5016,10,3,divendres,20075
2025,5016,10,4,dissabte,18021
2025,5016,10,5,diumenge,16458
2025,5016,11,1,dilluns,15949
2025,5016,11,2,laborables,17211
2025,5016,11,3,divendres,18940
2025,5016,11,4,dissabte,17087
2025,5016,11,5,diumenge,13897
2025,5016,12,1,dilluns,15499
2025,5016,12,2,laborables,16356
2025,5016,12,3,divendres,18496
2025,5016,12,4,dissabte,15274
2025,5016,12,5,diumenge,14396
2025,5017,1,1,dilluns,11289
2025,5017,1,2,laborables,11555
2025,5017,1,3,divendres,12334
2025,5017,1,4,dissabte,11824
2025,5017,1,5,diumenge,9565
2025,5017,2,1,dilluns,11448
2025,5017,2,2,laborables,12007
2025,5017,2,3,divendres,12623
