Id_aforament,Desc_aforament,Codi_tipus_aforament,Desc_tipus_aforament,Num_carrils,Codi_districte,Codi_Barri,Codi_tipus_equip_mesura,Desc_tipus_equip_mesura,Longitud,Latitud,X_ETRS89,Y_ETRS89
20185,PSG. DEL TAULAT - PROVENÇALS (sentit Besòs),2,Bicis,1,10,69,1,Espira,2.213471,41.405179,434254.870999999,4584030.206
20186,PSG. DEL TAULAT - ROC BORONAT (sentit Besòs),2,Bicis,1,10,68,1,Espira,2.203258,41.397398,433394.592999999,4583178.62299999
20187,PSG. DEL TAULAT - LLACUNA (sentit Llobregat),2,Bicis,1,10,68,1,Espira,2.203258,41.397398,433392.669999998,4583178.815
20188,Mª CLARET - BISCAIA,2,Bicis,1,9,63,1,Espira,2.18383,41.41824,431791.46,4585505.69099999
20189,Mª CLARET -  NAVAS DE TOLOSA,2,Bicis,1,9,63,1,Espira,2.183152,41.417753,431737.777,4585455.82799999
20190,SARDENYA - PROVIDÈNCIA,2,Bicis,1,6,32,1,Espira,2.163827,41.410648,430006.771,4584847.575
20191,SARDENYA - DE LES CAMÈLIES,2,Bicis,1,6,32,1,Espira,2.162501,41.41217,430116.930999998,4584680.888
20192,SARDENYA -  ENCARNACIÓ,2,Bicis,1,7,33,1,Espira,2.165362,41.409504,430243.716,4584550.104
20193,SARDENYA -  PUJADES,2,Bicis,1,10,66,1,Espira,2.188256,41.392116,432143.211,4582603.26699998
20194,PI FERRER - C/DEL GARROFERS (sentit muntanya),2,Bicis,1,8,45,1,Espira,2.179927,41.435633,431486.728999999,4587436.223
20195,PI FERRER - ALSAMORA (sentit mar),2,Bicis,1,8,45,1,Espira,2.179927,41.435633,431484.750999999,4587436.37
20196,SANT ANTONI MARIA CLARET - DOS DE MAIG,2,Bicis,1,2,6,1,Espira,2.174523,41.411089,431010.041,4584722.13599998
20197,AV. ICÀRIA - VICENS VIVES,2,Bicis,1,10,68,1,Espira,2.200953,41.394686,433202.325,4582872.86099999
20198,AV. ICÀRIA - TAULAT (sentit Llobregat),2,Bicis,1,10,68,1,Espira,2.200988,41.394702,433200.189,4582874.73
20199,RAMON TRIAS FARGAS - ICARIA (sentit Besòs),2,Bicis,1,10,67,1,Espira,2.193746,41.387989,432599.447999998,4582137.62299999
20200,RAMON TRIAS FARGAS - RAMÓN TURRÓ,2,Bicis,1,10,67,1,Espira,2.191297,41.389857,432387.713999998,4582353.52199998
20201,BILBAO - ANDRADE (sentit mar),2,Bicis,1,10,65,1,Espira,2.192692,41.410937,432530.566999998,4584687.95799999
20202,BILBAO - CONCILIO TRENTO (sentit muntanya),2,Bicis,1,10,65,1,Espira,2.192692,41.410937,432532.423999999,4584688.22699998
20203,PROVENÇA - ROGENT (sentit Besòs),2,Bicis,1,10,64,1,Espira,2.18262196710433,41.4104546167251,431685.179999999,4584645.35599999
20204,PROVENÇA - XIFRÉ (sentit Llobregat),2,Bicis,1,10,64,1,Espira,2.18263469608086,41.4104413760875,431686.224999998,4584643.87799999
20205,CAMÈLIES - ABD EL KADER (sentit Besòs),2,Bicis,1,7,33,1,Espira,2.16464,41.414159,430176.928,4585064.01999999
20206,CAMÈLIES - FRANÇA (sentit Llobregat),2,Bicis,1,7,33,1,Espira,2.16464,41.414159,430174.718999998,4585063.599
20207,BILBAO - PERE IV (sentit muntanya),2,Bicis,1,10,68,1,Espira,2.197404,41.407454,433069.876999998,4584144.61
20208,BILBAO - AV. DIAGONAL (sentit mar),2,Bicis,1,10,68,1,Espira,2.197403,41.407447,433067.793999999,4584145
20209,BILBAO - MARROC  (sentit muntanya),2,Bicis,1,10,71,1,Espira,2.199243,41.406065,432915.268999998,4584302.39099998
20210,BILBAO - BOLÍVIA (sentit mar),2,Bicis,1,10,71,1,Espira,2.19925,41.40606,432913.262999998,4584301.542
20211,BILBAO - LLULL (sentit muntanya),2,Bicis,1,10,68,1,Espira,2.20385,41.402681,433450.501999998,4583765.637
20212,BILBAO - PSG. DE COLOMER (sentit mar),2,Bicis,1,10,68,1,Espira,2.203849,41.40267,433448.643999998,4583765.56799998
20213,BILBAO - PALLARS (sentit muntanya),2,Bicis,1,10,68,1,Espira,2.201522,41.404378,433253.918,4583959.45299999
20214,BILBAO - CAMI ANTIC DE VALÈNCIA (sentit mar),2,Bicis,1,10,68,1,Espira,2.201515,41.404371,433253.918,4583957.62399998
20217,JONQUERA - GARCIA FARIA (sentit muntanya),2,Bicis,1,10,69,1,Espira,2.208211,41.39952,433806.918,4583413.342
20218,JONQUERA - PERELLÓ (sentit mar),2,Bicis,1,10,69,1,Espira,2.208211,41.399509,433805.088999998,4583412.694
20219,ALCALDE DE MÓSTOLES - TAXDIRT,2,Bicis,1,7,33,1,Espira,2.166728,41.410334,430250.79,4584530.52
20220,MINERIA - FISICA (sentit Llobregat),2,Bicis,1,3,13,1,Espira,2.13738144855302,41.3643409903904,427853.065,4579562.55499999
20221,MINERIA - PSG. ZONA FRANCA (sentit Besòs),2,Bicis,1,3,13,1,Espira,2.13742528514072,41.3643170887154,427856.706,4579559.87299999
20222,MINERIA - MOSSEN AMADEU OLLER (sentit mar),2,Bicis,1,3,13,1,Espira,2.14008290947217,41.3671337284067,428082.27,4579870.428
20223,MINERIA - FONT FLORIDA (sentit muntanya),2,Bicis,1,3,13,1,Espira,2.14009179288614,41.3671037997063,428083.420999998,4579869.047
20225,INDUSTRIA - AV. GAUDI (sentit Besòs),2,Bicis,1,2,6,1,Espira,2.175161,41.410141,431060.420999998,4584617.713
20226,PSG. DEL TAULAT -  BILBAO,2,Bicis,1,10,69,1,Espira,2.206772,41.400303,433690.550999998,4583497.46499998
20227,GARCILASO - AV. MERIDIANA (sentit Llobregat),2,Bicis,1,9,61,1,Espira,2.186576,41.422936,432026.9,4586027.393
20228,GARCILASO - JUAN DE GARAY (sentit Besòs),2,Bicis,1,9,61,1,Espira,2.18658,41.422927,432027.848999999,4586025.95199999
20229,OLESA - JORDI DE SANT JORDI (sentit Llobregat),2,Bicis,1,9,62,1,Espira,2.182278,41.420591,431667.913999999,4585772.042
20230,OLESA - BISCAIA (sentit Besòs),2,Bicis,1,9,62,1,Espira,2.182291,41.420583,431668.69,4585770.42899999
20231,SEGRE - DR. SANTPONÇ (sentit mar),2,Bicis,1,9,60,1,Espira,2.194012,41.431793,432660.006999998,4587001.877
20232,SEGRE - LIUVA (sentit muntanya),2,Bicis,1,9,60,1,Espira,2.194012,41.4318,432661.930999998,4587001.67499998
20233,PG. FABRA I PUIG - CONCEPCIÓ ARENAL (sentit Llobregat),2,Bicis,1,9,60,1,Espira,2.184311,41.43014,431839.599999998,4586828.746
